time	Vg	Id(=Ig)	Ig(=Id)
84.1922259000001	-0.800018	9.50849e-05	1.8294e-08
84.303217	-0.800017	9.51401e-05	1.52458e-08
84.3987911000001	-0.800015	9.52e-05	1.32553e-08
84.5103762000001	-0.800015	9.52473e-05	1.11825e-08
84.6218695	-0.800016	9.52957e-05	9.42458e-09
84.7536847000001	-0.800015	9.53444e-05	8.46384e-09
84.8710459000001	-0.800015	9.53909e-05	6.8594e-09
84.9838972	-0.800015	9.54356e-05	5.29925e-09
85.1397366	-0.800016	9.54812e-05	4.52073e-09
85.2606127000001	-0.800016	9.55309e-05	3.11214e-09
85.3767589	-0.800017	9.55733e-05	2.42865e-09
85.5011255	-0.800016	9.5612e-05	1.42492e-09
85.639549	-0.800015	9.56543e-05	4.04346e-10
85.7719772	-0.800015	9.56917e-05	1.19209e-13
85.9078373	-0.800016	9.57333e-05	1.01153e-09
86.0336046	-0.800015	9.57728e-05	1.12922e-09
86.1410447000001	-0.800017	9.58049e-05	1.8586e-09
86.2648726	-0.800016	9.58372e-05	2.04222e-09
86.4386514	-0.800017	9.58716e-05	2.24286e-09
86.5516188000001	-0.800015	9.59067e-05	2.49827e-09
86.6652770000001	-0.800014	9.59411e-05	2.71432e-09
86.8103199000001	-0.800013	9.59665e-05	3.27525e-09
86.9984129	-0.800017	9.60032e-05	3.29931e-09
87.1325522	-0.800015	9.60367e-05	4.00475e-09
87.230978	-0.800015	9.607e-05	3.61025e-09
87.3678579	-0.800013	9.60982e-05	4.14283e-09
87.5023771	-0.800014	9.61274e-05	4.2606e-09
87.631926	-0.800017	9.61538e-05	4.39057e-09
87.7341977	-0.800016	9.61778e-05	4.84923e-09
87.8790128	-0.800017	9.62021e-05	4.70607e-09
88.0983811	0.0999589	1.9138e-05	8.72217e-06
88.1391735	0.0999588	1.60289e-05	1.0506e-06
88.326492	0.0999582	1.5581e-05	3.28457e-07
88.4375258	0.099957	1.54319e-05	1.72163e-07
88.5672246	0.0999572	1.5368e-05	1.13825e-07
88.8244961	0.0999554	1.53196e-05	3.95378e-08
88.8921745	0.0999572	1.52948e-05	3.59325e-08
89.0248683	0.0999571	1.52788e-05	3.33158e-08
89.1864549	0.0999596	1.52664e-05	3.15657e-08
89.301933	0.0999603	1.52562e-05	2.95393e-08
89.4635245	0.0999606	1.52468e-05	2.8535e-08
89.5666433	0.0999588	1.52401e-05	2.74641e-08
89.6689612	0.0999596	1.52351e-05	2.693e-08
89.7767287	0.0999596	1.52303e-05	2.64624e-08
89.8720052	0.0999604	1.52264e-05	2.60703e-08
90.0210199	0.09996	1.52231e-05	2.54172e-08
90.1651568	0.0999606	1.52192e-05	2.51482e-08
90.386634	0.0999607	1.52141e-05	2.47991e-08
90.499978	0.0999626	1.52108e-05	2.43981e-08
90.6267642	0.0999616	1.52083e-05	2.40679e-08
90.7480265	0.0999605	1.52042e-05	2.37028e-08
90.8530639	0.0999604	1.52023e-05	2.36802e-08
90.9020111	0.0999611	1.52011e-05	2.33892e-08
91.0438245	0.0999602	1.51991e-05	2.33432e-08
91.2253089	0.099961	1.51967e-05	2.29961e-08
91.342532	0.0999603	1.51948e-05	2.2739e-08
91.4725007	0.0999589	1.51925e-05	2.2786e-08
91.6037857	0.0999584	1.51907e-05	2.23776e-08
91.7693042	0.0999592	1.51893e-05	2.24636e-08
91.9185318	0.0999597	1.51881e-05	2.19177e-08
91.9896514	0.0999601	1.51865e-05	2.20984e-08
92.0988793	0.0999604	1.51852e-05	2.20621e-08
92.2222322	0.0999608	1.51844e-05	2.17947e-08
92.3208079	0.0999614	1.5183e-05	2.17516e-08
92.4331497	0.0999614	1.51829e-05	2.17636e-08
92.5430473	0.0999598	1.51811e-05	2.15132e-08
92.6913234	0.099961	1.51801e-05	2.16368e-08
92.7855518	0.0999606	1.51791e-05	2.1393e-08
92.9199938	0.099961	1.51777e-05	2.13411e-08
93.0539714	0.0999605	1.51769e-05	2.13807e-08
93.1744486	0.0999608	1.51758e-05	2.10235e-08
93.3040768	0.0999607	1.51753e-05	2.11755e-08
93.4715033	0.0999616	1.51738e-05	2.09314e-08
93.5847592	0.0999621	1.51732e-05	2.07707e-08
93.7103663	0.099961	1.51717e-05	2.09249e-08
93.8366467	0.099961	1.51704e-05	2.0548e-08
93.9684888	0.0999618	1.51696e-05	2.08906e-08
94.1389659	0.0999625	1.5168e-05	2.04712e-08
94.2518707	0.0999612	1.51672e-05	2.06176e-08
94.3888383	0.0999613	1.51654e-05	2.01766e-08
94.6251331	0.0999618	1.51658e-05	2.0171e-08
94.721925	0.0999622	1.51644e-05	2.00377e-08
94.9012778	0.0999593	1.51628e-05	2.0419e-08
94.9482497	0.0999592	1.51619e-05	2.00776e-08
95.0826592	0.099959	1.51617e-05	1.96337e-08
95.2035378	0.0999596	1.51613e-05	1.98071e-08
95.2976635	0.0999599	1.51602e-05	1.95017e-08
95.4109564	0.09996	1.51595e-05	1.9651e-08
95.5321116	0.0999621	1.51595e-05	1.96219e-08
96.850407	0.0999627	1.51567e-05	1.92956e-08
96.7506144	0.0999614	1.51553e-05	1.92249e-08
96.8839274	0.0999599	1.51535e-05	1.93111e-08
96.9334728	0.0999609	1.51533e-05	1.90741e-08
97.2636962	0.0999625	1.5152e-05	1.90298e-08
97.2894332	0.0999623	1.51513e-05	1.88346e-08
97.4172086	0.0999615	1.5151e-05	1.89803e-08
97.579899	0.0999629	1.51505e-05	1.88274e-08
97.6925786	0.0999626	1.51505e-05	1.88514e-08
97.8250509	0.0999647	1.51486e-05	1.86484e-08
97.9617731	0.0999629	1.51487e-05	1.87686e-08
98.1048444	0.0999645	1.5148e-05	1.87681e-08
98.3327046	0.0999637	1.51475e-05	1.87232e-08
98.5166951	0.0999642	1.51471e-05	1.84584e-08
98.65778	0.0999643	1.51461e-05	1.86444e-08
98.7664736	0.0999625	1.51451e-05	1.86906e-08
98.8865028	0.099963	1.51447e-05	1.86299e-08
99.0170704	0.0999633	1.51447e-05	1.85299e-08
99.152308	0.0999637	1.51439e-05	1.84139e-08
99.2781934	0.0999645	1.5144e-05	1.84972e-08
99.4392788	0.0999651	1.5143e-05	1.85619e-08
99.5533354	0.0999665	1.51432e-05	1.84925e-08
99.6968083	0.0999665	1.51426e-05	1.85205e-08
99.8135537	0.0999663	1.51417e-05	1.83461e-08
100.0098516	0.0999647	1.51418e-05	1.85501e-08
100.0967935	0.0999657	1.51411e-05	1.8388e-08
100.2203641	0.0999664	1.51407e-05	1.84868e-08
100.3627362	0.0999648	1.51399e-05	1.83296e-08
100.5077637	0.0999662	1.51395e-05	1.83898e-08
100.6960132	0.0999663	1.51394e-05	1.82426e-08
100.7746384	0.0999646	1.51386e-05	1.83127e-08
100.9786912	0.0999658	1.51382e-05	1.85639e-08
101.1163503	-0.800012	9.86064e-05	8.43293e-06
102.8922924	-0.800012	9.46552e-05	1.20906e-07
103.2121715	-0.800012	9.50106e-05	1.8037e-08
103.5025006	-0.800016	9.52384e-05	1.17131e-08
103.3457052	-0.800015	9.5328e-05	9.52876e-09
103.4398983	-0.800015	9.53862e-05	8.3325e-09
103.6002697	-0.800016	9.5441e-05	7.69224e-09
103.7656649	-0.800015	9.5504e-05	5.99051e-09
103.9112329	-0.800013	9.55687e-05	5.55978e-09
104.0207933	-0.800015	9.56251e-05	3.99544e-09
104.1153503	-0.800016	9.56676e-05	4.12496e-09
104.2999695	-0.800014	9.57227e-05	3.21931e-09
104.4457545	-0.800015	9.57773e-05	1.94606e-09
104.5570238	-0.800014	9.58206e-05	1.49649e-09
104.7210592	-0.800013	9.58677e-05	5.1899e-10
104.8042601	-0.800013	9.59116e-05	6.79564e-10
104.9590565	-0.800014	9.59557e-05	5.88739e-10
105.0279131	-0.800012	9.59902e-05	5.94962e-10
105.1465542	-0.800012	9.60212e-05	1.19283e-09
105.2760864	-0.800012	9.60555e-05	1.41809e-09
105.4911132	-0.800013	9.61072e-05	1.41445e-09
105.5846146	-0.800012	9.61461e-05	1.98551e-09
105.7495104	-0.800012	9.61829e-05	1.91664e-09
105.8654938	-0.800014	9.62215e-05	2.63689e-09
106.0279656	-0.800012	9.62592e-05	2.43981e-09
106.1670159	0.0999639	1.89619e-05	8.63135e-06
106.3459795	0.0999643	1.5961e-05	1.32572e-06
106.5066405	0.0999635	1.55365e-05	2.6962e-07
106.6044782	0.0999632	1.54193e-05	1.39683e-07
106.8399495	0.099965	1.53475e-05	4.1399e-08
106.9362915	0.0999648	1.53176e-05	3.66742e-08
107.0508111	0.099964	1.52985e-05	3.36682e-08
107.1902925	0.0999645	1.52829e-05	3.15616e-08
107.3282333	0.0999625	1.52714e-05	2.96215e-08
107.4847706	0.0999641	1.52618e-05	2.82651e-08
107.6218588	0.0999639	1.5253e-05	2.74266e-08
108.8931442	0.0999637	1.52289e-05	2.45007e-08
108.4448049	0.0999649	1.52253e-05	2.39406e-08
109.0578956	0.0999654	1.5218e-05	2.31677e-08
109.011509	-0.800014	9.9026e-05	8.44605e-06
109.6375638	-0.800011	9.56273e-05	2.41595e-07
109.5125341	-0.800013	9.56614e-05	1.60987e-07
109.6573705	-0.800014	9.57165e-05	1.33696e-07
109.7956211	-0.800011	9.57767e-05	1.13185e-07
109.9211627	-0.80001	9.58381e-05	1.01599e-07
110.3423385	-0.800012	9.59689e-05	1.83121e-08
110.3241205	-0.800014	9.60325e-05	1.54151e-08
110.5097997	-0.800011	9.60889e-05	1.30226e-08
110.9540836	-0.800012	9.62218e-05	8.47259e-09
110.8955095	-0.800011	9.62689e-05	7.3229e-09
110.9849912	-0.800011	9.63104e-05	5.87317e-09
111.0830081	-0.80001	9.63509e-05	4.95964e-09
111.2240585	-0.800012	9.63877e-05	4.16354e-09
